Date,latent_factor_period_mean,latent_factor_period_last,inflation_rate_pct
2004-11-30,1.8689848142419754,0.7121443532012162,0.1
2004-12-31,0.8460316378386067,0.0339661631542818,-0.4
2005-01-31,2.5154386743077257,2.224046401542785,0.2
2005-02-28,0.8958689372898438,-2.2294502339454128,0.6
2005-03-31,-2.035974300518638,-0.3174598100587409,0.8
2005-04-30,0.0374413752203531,0.834634393056862,0.7
2005-05-31,1.994786719449231,3.813981979101392,-0.1
2005-06-30,1.738311515238644,1.735275733269415,0.1
2005-07-31,1.3696956856504536,0.0734822185046322,0.5
2005-08-31,-2.4350565173616063,-3.707180048091371,0.5
2005-09-30,-4.437397686190486,-4.113483654640943,1.2
2005-10-31,-2.1992199002701716,-1.1675781576101611,0.2
2005-11-30,-1.8815384083282254,-2.929578393448765,-0.8
2005-12-31,-5.766552501605842,-6.0986896300797095,-0.4
2006-01-31,-10.967771415585045,-12.095608332079625,0.8
2006-02-28,-9.498693091845976,-10.369687450477157,0.2
2006-03-31,-11.110929043118023,-13.459294502784038,0.6
2006-04-30,-16.482443344055927,-21.55996085467458,0.9
2006-05-31,-22.41868359258499,-20.39848046260616,0.5
2006-06-30,-16.39304154842792,-19.37889440569195,0.2
2006-07-31,-18.389923581737925,-18.98614661762668,0.3
2006-08-31,-19.524135898104568,-19.574571998771837,0.2
2006-09-30,-17.15705549055882,-16.786985891793815,-0.5
2006-10-31,-15.86403230248154,-18.286468687090714,-0.5
2006-11-30,-20.26699623651066,-24.08831786264269,-0.1
2006-12-31,-22.65014177487362,-22.30250086386021,0.1
2007-01-31,-20.34282170627662,-22.32310817806076,0.3
2007-02-28,-23.100398135357622,-22.737958610697472,0.5
2007-03-31,-21.76449114208523,-23.30582058057083,0.9
2007-04-30,-25.25075379766385,-25.614759254587696,0.6
2007-05-31,-24.280439593375423,-23.793530335398412,0.6
2007-06-30,-22.70709068285964,-22.69792587261386,0.2
2007-07-31,-24.485566123006773,-22.522746163574485,0.0
